species	affected_compounds	note
Armillaria mellae	Melleolide B; Melleolide D	NCBI taxonomy not resolved — check species name / strain tag
Ascochyta sp. strain 6651	Ascochin	NCBI taxonomy not resolved — check species name / strain tag
Aspergillus fumigatus WFZ-25	Pseurotin A	NCBI taxonomy not resolved — check species name / strain tag
Aspergillus versicolor (Vuillemin) tiraboschi	Sterigmatocystin	NCBI taxonomy not resolved — check species name / strain tag
Chaetomium cochliodes VTh01	Cochliodone A	NCBI taxonomy not resolved — check species name / strain tag
Chaetomium elatum (No. 63-10-3-1)	Xanthoquinodin B4	NCBI taxonomy not resolved — check species name / strain tag
Chaetomium globosum QEN-14	Chaetoglobosin F	NCBI taxonomy not resolved — check species name / strain tag
Chalara sp. 6661	Isofusidienol A	NCBI taxonomy not resolved — check species name / strain tag
Cladosporium f-24'707	Cladospirone bisepoxide	NCBI taxonomy not resolved — check species name / strain tag
Curvularia sp. (strain no. 768)	10,11-Dehydrocurvularin	NCBI taxonomy not resolved — check species name / strain tag
Cyathus cf. striatus	Pyristriatin B	NCBI taxonomy not resolved — check species name / strain tag
Diaporthe eucalyptorum KY-9	Eucalactam B	NCBI taxonomy not resolved — check species name / strain tag
Diaporthe sp. GDG-118	21-Acetoxycytochalasin J3	NCBI taxonomy not resolved — check species name / strain tag
Favolaschia sp. 87129	Favolon	NCBI taxonomy not resolved — check species name / strain tag
Fusicoccum amygdali Del.	5-Methylmellein	NCBI taxonomy not resolved — check species name / strain tag
Heimiomyces sp. (MUCL 56078)	Heimiomycin A; Heimiomycin B	NCBI taxonomy not resolved — check species name / strain tag
Hohenbuehelia grisea MFLUCC 12-0451	Dihydropleurotinic acid	NCBI taxonomy not resolved — check species name / strain tag
Lentinus connatus BCC 8996	Connatusin A	NCBI taxonomy not resolved — check species name / strain tag
Penicillium sp. CR1642D	Dicerandrol B	NCBI taxonomy not resolved — check species name / strain tag
Phoma betae Frank PS-13	3-Deoxyaphidicolin	NCBI taxonomy not resolved — check species name / strain tag
Phoma sp. strain 7204	(+)-Flavipucine	NCBI taxonomy not resolved — check species name / strain tag
Phomopsis sp. BCC 1323	Phomoxanthone A	NCBI taxonomy not resolved — check species name / strain tag
Phomopsis sp. CMB-M0042F	Cytochalasin J	NCBI taxonomy not resolved — check species name / strain tag
Phomopsis sp. E02018	Phomol	NCBI taxonomy not resolved — check species name / strain tag
Polyporus hispidus	Hispidin	NCBI taxonomy not resolved — check species name / strain tag
Trypetheliopsis boninensis	Skyrin	NCBI taxonomy not resolved — check species name / strain tag
Unknown-bacterium sp.	Pestabacillin B	NCBI taxonomy not resolved — check species name / strain tag
Unknown-fungus sp.	Illudin M	NCBI taxonomy not resolved — check species name / strain tag
Unknown-fungus sp., KL-1.1	Cytochalasin C	NCBI taxonomy not resolved — check species name / strain tag
